INDID,IND
6690,"Telecommunications, except wired telecommunications carriers"
6695,"Computing infrastructure providers, data processing, web hosting, and related services"
6770,Libraries and archives
6781,Web search portals and all other information services
6871,"Monetary authorities-central bank, and commercial banking"
6881,"Credit unions, and savings institutions and other depository credit intermediation"
6890,Nondepository credit intermediation and related activities 
6970,"Securities, commodities, funds, trusts, and other financial investments"
6991,Insurance carriers
6992,"Agencies, brokerages, and other insurance related activities"
7071,"Lessors of real estate, and offices of real estate agents and brokers"
7072,Activities related to real estate
7080,Automotive equipment rental and leasing
7181,"Consumer goods rental, and general rental centers"
7190,"Commercial and industrial machinery and equipment, and nonfinancial intangible assets rental and leasing"
7270,Legal services
7280,"Accounting, tax preparation, bookkeeping, and payroll
services"
7290,"Architectural, engineering, and related services"
7370,Specialized design services
7380,Computer systems design and related services
7390,"Management, scientific, and technical consulting services"
7460,Scientific research and development services
7470,"Advertising, public relations, and related services"
7480,Veterinary services
7490,"Other professional, scientific, and technical, except veterinary, services"
7570,Management of companies and enterprises
7580,Employment services
7590,Business support services
7670,Travel arrangements and reservation services
7680,Investigation and security services
7690,"Services to buildings and dwellings, except landscaping services"
7770,Landscaping services
7780,Other administrative and other support services
7790,Waste management and remediation services
7860,Elementary and secondary schools
7870,"Junior colleges, colleges, universities, and professional schools"
7880,"Business, trade and technical schools, and computer and management training"
7890,"Other schools and instruction, and educational support services"
7970,Offices of physicians
7980,Offices of dentists
7990,Offices of chiropractors
8070,Offices of optometrists
8080,Offices of other health practitioners
8090,Outpatient care centers
8170,Home health care services
8180,Other health care services
8191,"General medical and surgical hospitals, and specialty (except psychiatric and substance abuse) hospitals"
8192,Psychiatric and substance abuse hospitals
8270,Nursing care facilities (skilled nursing facilities)
8290,"Residential care facilities, except skilled nursing facilities"
8370,Individual and family services
8380,"Community food and housing, and emergency and other relief services"
8390,Vocational rehabilitation services
8470,Child care services 
8561,Performing arts companies
8562,Spectator sports
8563,"Promoters of performing arts, sports, and similar events, agents and managers for artists, athletes, entertainers, and other public figures"
8564,"Independent artists, writers, and performers"
8570,"Museums, historical sites, and similar institutions"
8580,Bowling centers
8590,"Other amusement, gambling, and recreation industries"
8660,Traveler accommodation
8670,"Recreational vehicle parks and camps, and rooming and boarding houses, dormitories, and workers' camps"
8680,"Food services and drinking places, except alcoholic beverages"
8690,Drinking places (alcoholic beverages)
8770,"Automotive repair and maintenance, except car washes"
8780,Car washes
8790,Electronic and precision equipment repair and maintenance
8870,Commercial and industrial machinery and equipment repair and maintenance
8891,Personal and household goods repair and maintenance
8970,Barber shops
8980,Beauty salons
8990,Nail salons and other personal care services
9070,Drycleaning and laundry services
9080,Death care services 
9090,Other personal services
9160,Religious organizations
9170,"Civic, social, advocacy organizations, and grantmaking and
giving services"
9180,Labor unions and similar labor organizations
9190,"Business, professional, political, and similar organizations"
9290,Private households
9370,Executive offices and legislative bodies
9380,Public finance activities
9390,Other general government and support
9470,"Justice, public order, and safety activities"
9480,Administration of human resource programs
9490,"Administration of environmental quality, and housing programs, urban planning and community development"
9570,Administration of economic programs and space research and technology
9590,National security and international affairs
9670,U. S. Army
9680,U. S. Air Force
9690,U. S. Navy
9770,U. S. Marines
9780,U. S. Coast Guard
9790,"Armed Forces, Branch not specified"
9870,Military Reserves or National Guard
9920,"Unemployed, last worked 5 years ago or earlier or never worked"
